dire_1,dire_2,dire_3,dire_4,dire_5,dire_6,first_team_ban,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,radiant_win
clinkz,dark_willow,rubick,shadow_demon,grimstroke,0,0,bloodseeker,phoenix,antimage,lycan,alchemist,0.0
slark,pudge,ancient_apparition,furion,invoker,0,0,juggernaut,alchemist,shadow_shaman,visage,leshrac,0.0
jakiro,grimstroke,witch_doctor,spectre,necrolyte,0,1,sniper,lion,tiny,spirit_breaker,venomancer,1.0
centaur,ursa,ember_spirit,ancient_apparition,marci,0,0,void_spirit,juggernaut,kunkka,spirit_breaker,sniper,1.0
monkey_king,rubick,sniper,axe,ancient_apparition,0,0,jakiro,furion,silencer,pudge,enchantress,0.0
grimstroke,legion_commander,dawnbreaker,bristleback,ursa,0,0,oracle,treant,abyssal_underlord,winter_wyvern,kunkka,0.0
shredder,jakiro,crystal_maiden,vengefulspirit,skywrath_mage,0,1,tiny,arc_warden,dazzle,enigma,gyrocopter,1.0
winter_wyvern,night_stalker,windrunner,lina,lich,0,0,keeper_of_the_light,weaver,chaos_knight,jakiro,viper,1.0
spectre,sniper,lina,bounty_hunter,antimage,0,0,drow_ranger,venomancer,viper,pudge,jakiro,1.0
juggernaut,crystal_maiden,puck,pugna,mars,0,0,skywrath_mage,slardar,faceless_void,zuus,ogre_magi,1.0
magnataur,snapfire,necrolyte,sven,hoodwink,0,1,obsidian_destroyer,huskar,razor,undying,vengefulspirit,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0.0
legion_commander,spirit_breaker,rubick,shadow_shaman,phantom_assassin,0,0,bloodseeker,drow_ranger,crystal_maiden,furion,dazzle,0.0
primal_beast,mirana,juggernaut,tidehunter,void_spirit,0,0,crystal_maiden,clinkz,silencer,night_stalker,snapfire,1.0
faceless_void,bounty_hunter,skywrath_mage,slardar,necrolyte,0,1,windrunner,ursa,ember_spirit,hoodwink,legion_commander,1.0
skywrath_mage,enchantress,shadow_shaman,invoker,necrolyte,0,0,monkey_king,alchemist,magnataur,witch_doctor,sven,0.0
huskar,ogre_magi,phantom_assassin,night_stalker,lion,0,1,antimage,silencer,invoker,spirit_breaker,mirana,1.0
juggernaut,warlock,sand_king,alchemist,queenofpain,0,1,drow_ranger,pudge,dragon_knight,rubick,lina,1.0
snapfire,juggernaut,skywrath_mage,doom_bringer,medusa,0,0,sand_king,windrunner,dazzle,tiny,spectre,1.0
crystal_maiden,arc_warden,venomancer,clinkz,phantom_assassin,0,1,snapfire,sniper,viper,tusk,weaver,1.0
juggernaut,dragon_knight,bane,ogre_magi,ember_spirit,0,0,ancient_apparition,monkey_king,riki,queenofpain,naga_siren,0.0
spirit_breaker,bloodseeker,chaos_knight,silencer,terrorblade,0,1,earthshaker,slark,alchemist,kunkka,pudge,1.0
axe,bristleback,undying,disruptor,phantom_assassin,0,1,marci,necrolyte,faceless_void,juggernaut,viper,1.0
phantom_assassin,jakiro,luna,enchantress,kunkka,0,1,drow_ranger,ogre_magi,sven,huskar,warlock,0.0
clinkz,necrolyte,enchantress,earthshaker,hoodwink,0,1,ancient_apparition,snapfire,bristleback,nevermore,life_stealer,0.0
antimage,jakiro,witch_doctor,sniper,hoodwink,0,1,ancient_apparition,lich,centaur,dark_willow,phantom_lancer,1.0
morphling,pudge,undying,earthshaker,faceless_void,0,1,silencer,arc_warden,spirit_breaker,enigma,hoodwink,1.0
nevermore,undying,necrolyte,viper,winter_wyvern,0,0,ogre_magi,clinkz,pudge,sniper,lina,1.0
zuus,chaos_knight,dawnbreaker,sniper,hoodwink,0,1,juggernaut,bristleback,void_spirit,venomancer,ancient_apparition,1.0
necrolyte,earth_spirit,phantom_assassin,crystal_maiden,enchantress,0,0,spectre,jakiro,ember_spirit,rubick,bristleback,1.0
bristleback,skeleton_king,nevermore,silencer,pugna,0,0,arc_warden,pudge,crystal_maiden,windrunner,storm_spirit,0.0
